UPS Next Day Air®,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,,,,,,,,

Weight Not To Exceed, Zone 102 , Zone 103 , Zone 104 , Zone 105 , Zone 106 , Zone 107 , Zone 108 , Zone 124 , Zone 125 , Zone 126

Letter,$13.40 ,$15.50 ,$16.80 ,$17.60 ,$18.40 ,$19.30 ,$19.80 ,$20.20 ,$20.20 ,$27.00 
80,$100.00 ,$134.70 ,$200.00 ,$213.40 ,$233.10 ,$243.90 ,$252.10 ,$255.40 ,$255.40 ,$264.00 
81,$102.10 ,$136.90 ,$202.50 ,$216.30 ,$236.10 ,$247.00 ,$255.20 ,$258.90 ,$258.90 ,$267.30 
82,$103.40 ,$139.10 ,$205.00 ,$219.20 ,$239.10 ,$250.10 ,$258.30 ,$262.30 ,$262.30 ,$270.60 
83,$104.60 ,$141.30 ,$207.50 ,$222.10 ,$242.10 ,$253.20 ,$261.50 ,$265.60 ,$265.60 ,$273.90 
84,$105.90 ,$143.40 ,$210.00 ,$225.00 ,$245.10 ,$256.20 ,$264.60 ,$268.80 ,$268.80 ,$277.20 
85,$107.10 ,$145.50 ,$212.50 ,$227.90 ,$248.10 ,$259.30 ,$267.80 ,$272.00 ,$272.00 ,$280.50 
86,$108.40 ,$147.60 ,$215.00 ,$230.80 ,$251.10 ,$262.30 ,$270.90 ,$275.20 ,$275.20 ,$283.80 
87,$109.70 ,$149.60 ,$217.50 ,$233.70 ,$254.10 ,$265.40 ,$274.10 ,$278.40 ,$278.40 ,$287.10 
88,$110.90 ,$151.50 ,$220.00 ,$236.60 ,$257.00 ,$268.40 ,$277.20 ,$281.60 ,$281.60 ,$290.40 
89,$112.20 ,$153.40 ,$222.50 ,$239.50 ,$259.90 ,$271.50 ,$280.40 ,$284.80 ,$284.80 ,$293.70 
90,$113.40 ,$155.30 ,$225.00 ,$242.40 ,$262.80 ,$274.50 ,$283.50 ,$288.00 ,$288.00 ,$297.00 
91,$115.60 ,$157.20 ,$227.50 ,$245.30 ,$265.80 ,$277.60 ,$286.70 ,$291.20 ,$291.20 ,$300.30 
92,$116.90 ,$159.10 ,$230.00 ,$248.20 ,$268.70 ,$280.60 ,$289.80 ,$294.40 ,$294.40 ,$303.60 
93,$118.20 ,$160.90 ,$232.50 ,$251.00 ,$271.60 ,$283.70 ,$293.00 ,$297.60 ,$297.60 ,$306.90 
94,$119.40 ,$162.70 ,$235.00 ,$253.80 ,$274.50 ,$286.70 ,$296.10 ,$300.80 ,$300.80 ,$310.20 
95,$120.70 ,$164.40 ,$237.50 ,$256.50 ,$277.40 ,$289.80 ,$299.30 ,$304.00 ,$304.00 ,$313.50 
96,$122.00 ,$166.10 ,$240.00 ,$259.20 ,$280.40 ,$292.80 ,$302.40 ,$307.20 ,$307.20 ,$316.80 
97,$123.20 ,$167.90 ,$242.50 ,$261.90 ,$283.30 ,$295.90 ,$305.60 ,$310.40 ,$310.40 ,$320.10 
98,$124.50 ,$169.60 ,$245.00 ,$264.60 ,$286.20 ,$298.90 ,$308.70 ,$313.60 ,$313.60 ,$323.40 
99,$125.80 ,$171.30 ,$247.50 ,$267.30 ,$289.10 ,$302.00 ,$311.90 ,$316.80 ,$316.80 ,$326.70 
100,$127.00 ,$173.00 ,$250.00 ,$270.00 ,$292.00 ,$305.00 ,$315.00 ,$320.00 ,$320.00 ,$330.00 
101,$128.30 ,$174.80 ,$252.50 ,$272.70 ,$295.00 ,$308.10 ,$318.20 ,$323.20 ,$323.20 ,$333.30 
102,$129.60 ,$176.50 ,$255.00 ,$275.40 ,$297.90 ,$311.10 ,$321.30 ,$326.40 ,$326.40 ,$336.60 
103,$130.90 ,$178.20 ,$257.50 ,$278.10 ,$300.80 ,$314.20 ,$324.50 ,$329.60 ,$329.60 ,$339.90 
104,$132.10 ,$180.00 ,$260.00 ,$280.80 ,$303.70 ,$317.20 ,$327.60 ,$332.80 ,$332.80 ,$343.20 
105,$133.40 ,$181.70 ,$262.50 ,$283.50 ,$306.60 ,$320.30 ,$330.80 ,$336.00 ,$336.00 ,$346.50 
106,$134.70 ,$183.40 ,$265.00 ,$286.20 ,$309.60 ,$323.30 ,$333.90 ,$339.20 ,$339.20 ,$349.80 
107,$135.90 ,$185.20 ,$267.50 ,$288.90 ,$312.50 ,$326.40 ,$337.10 ,$342.40 ,$342.40 ,$353.10 
108,$137.20 ,$186.90 ,$270.00 ,$291.60 ,$315.40 ,$329.40 ,$340.20 ,$345.60 ,$345.60 ,$356.40 
109,$138.50 ,$188.60 ,$272.50 ,$294.30 ,$318.30 ,$332.50 ,$343.40 ,$348.80 ,$348.80 ,$359.70 
110,$139.70 ,$190.30 ,$275.00 ,$297.00 ,$321.20 ,$335.50 ,$346.50 ,$352.00 ,$352.00 ,$363.00 
111,$141.00 ,$192.10 ,$277.50 ,$299.70 ,$324.20 ,$338.60 ,$349.70 ,$355.20 ,$355.20 ,$366.30 
112,$142.30 ,$193.80 ,$280.00 ,$302.40 ,$327.10 ,$341.60 ,$352.80 ,$358.40 ,$358.40 ,$369.60 
113,$143.60 ,$195.50 ,$282.50 ,$305.10 ,$330.00 ,$344.70 ,$356.00 ,$361.60 ,$361.60 ,$372.90 
