Extended Area Surcharge Listing
"EFFECTIVE JANUARY 2, 2006"

"An Extended Area Surcharge applies to UPS Worldwide Express Plus, "
"UPS Worldwide Express, and UPS Worldwide Expedited shipments to all"
the destinations and from certain origins listed in the following chart.

Locate the destination or origin country.  Locate the Postal Code or City.
"If the Postal Code or City is not listed, ""All Other Points"" applies."

"If ""YES"" is indicated in the ""Extended Area Surcharge"" column next to the"
"destination, a surcharge applies to your export shipment."

"If ""YES"" is indicated in the ""Extended Area Surcharge"" column AND "
"an asterisk is shown next to the origin, a surcharge applies to your import shipment."

"If a surcharge applies, add $20 or $.20 per pound (whichever is greater) to the ",,,
charges for your shipment.,,,

"Note: In the Extended Area Surcharge postal code listings for France*, Guatemala, ",,,
"and Spain*, some programs may drop the leading zeros.  For example, 6260 ",,,
should actually read as 06260.,,,

Destination,,,Extended Area
Country,Postal Codes,Cities,Surcharge

Argentina,3514,,Yes
Argentina,3516,,Yes
Argentina,3518-3519,,Yes
Argentina,3526,,Yes
Argentina,3530,,Yes
Argentina,3534-3536,,Yes
Argentina,3540,,Yes
Argentina,3545,,Yes
Argentina,3550,,Yes
Argentina,3555,,Yes
Argentina,3560-3561,,Yes
Argentina,3572,,Yes
Argentina,3574-3575,,Yes
Argentina,3580-3581,,Yes
Argentina,3586,,Yes
Argentina,3603-3604,,Yes
Argentina,3606,,Yes
Argentina,3608,,Yes
Argentina,3610,,Yes
Argentina,3620,,Yes
Argentina,3624,,Yes
Argentina,3626,,Yes
Argentina,3630,,Yes
Argentina,3700-3701,,Yes
Argentina,3703,,Yes
Argentina,3705,,Yes
Argentina,3711-3712,,Yes
Argentina,3716,,Yes
Argentina,3718,,Yes
Argentina,3722,,Yes
Argentina,3730,,Yes
Argentina,3732-3733,,Yes
Argentina,3740,,Yes
Argentina,3760-3761,,Yes
Argentina,3763,,Yes
Argentina,4103,,Yes
Argentina,4105,,Yes
Argentina,4107-4109,,Yes
Argentina,4111,,Yes
Argentina,4119,,Yes
Argentina,4122,,Yes
Argentina,4124,,Yes
Argentina,4128-4129,,Yes
Argentina,4132-4134,,Yes
Argentina,4137,,Yes
Argentina,4139,,Yes
Argentina,4142,,Yes
Argentina,4144-4146,,Yes
Argentina,4152-4158,,Yes
Argentina,4162,,Yes
Argentina,4168,,Yes
Argentina,4172,,Yes
Argentina,4176,,Yes
Argentina,4178-4182,,Yes
Argentina,4190,,Yes
Argentina,4203,,Yes
Argentina,4208,,Yes
Argentina,4220,,Yes
Argentina,4230,,Yes
Argentina,4300,,Yes
Argentina,4308,,Yes
Argentina,4312,,Yes
Argentina,4322,,Yes
Argentina,4324-4326,,Yes
Argentina,4332,,Yes
Argentina,4350,,Yes
Argentina,4354,,Yes
Argentina,4399,,Yes
Argentina,4401,,Yes
Argentina,4403,,Yes
Argentina,4405,,Yes
Argentina,4407,,Yes
Argentina,4411,,Yes
Argentina,4421-4423,,Yes
Argentina,4427,,Yes
Argentina,4430,,Yes
Argentina,4432,,Yes
Argentina,4440,,Yes
Argentina,4444,,Yes
Argentina,4448-4449,,Yes
Argentina,4500,,Yes
Argentina,4503,,Yes
Argentina,4506,,Yes
Argentina,4512-4514,,Yes
Argentina,4522,,Yes
Argentina,4530-4535,,Yes
Argentina,4550,,Yes
Argentina,4554,,Yes
Argentina,4560,,Yes
Argentina,4562,,Yes
Argentina,4566,,Yes
Argentina,4568-4569,,Yes
Argentina,4582,,Yes
Argentina,4606-4609,,Yes
Argentina,4612-4614,,Yes
Argentina,4622,,Yes
Argentina,4624,,Yes
Argentina,4630,,Yes
Argentina,4634-4635,,Yes
Argentina,4650,,Yes
Argentina,4701,,Yes
Argentina,4707-4709,,Yes
Argentina,4715,,Yes
Argentina,4718,,Yes
Argentina,4724,,Yes
Argentina,4728,,Yes
Argentina,4740,,Yes
Argentina,4750,,Yes
Argentina,5101,,Yes
Argentina,5104,,Yes
Argentina,5111,,Yes
Argentina,5113,,Yes
Argentina,5116-5117,,Yes
Argentina,5119,,Yes
Argentina,5121-5122,,Yes
Argentina,5124-5130,,Yes
Argentina,5133,,Yes
Argentina,5137-5139,,Yes
Argentina,5141,,Yes
Argentina,5143,,Yes
Argentina,5146,,Yes
Argentina,5151-5152,,Yes
Argentina,5155,,Yes
Argentina,5158,,Yes
Argentina,5162-5168,,Yes
Argentina,5172,,Yes
Argentina,5174,,Yes
Argentina,5176-5179,,Yes
Argentina,5182-5184,,Yes
Argentina,5186-5187,,Yes
Argentina,5189,,Yes
Argentina,5194,,Yes
Argentina,5196,,Yes
Argentina,5200-5201,,Yes
Argentina,5209-5210,,Yes
Argentina,5214,,Yes
Argentina,5220,,Yes
Argentina,5223,,Yes
Argentina,5225,,Yes
Argentina,5236,,Yes
Argentina,5238,,Yes
Argentina,5248,,Yes
Argentina,5250,,Yes
Argentina,5253,,Yes
Argentina,5260,,Yes
Argentina,5270,,Yes
Argentina,5274-5275,,Yes
Argentina,5280,,Yes
Argentina,5284,,Yes
Argentina,5291,,Yes
Argentina,5295,,Yes
Argentina,5301-5303,,Yes
Argentina,5310,,Yes
Argentina,5315-5316,,Yes
Argentina,5340,,Yes
Argentina,5345,,Yes
Argentina,5350,,Yes
Argentina,5355,,Yes
Argentina,5357,,Yes
Argentina,5360,,Yes
Argentina,5372,,Yes
Argentina,5374,,Yes
Argentina,5380,,Yes
Argentina,5383-5386,,Yes
Argentina,5401-5403,,Yes
Argentina,5405,,Yes
Argentina,5407-5408,,Yes
Argentina,5411,,Yes
Argentina,5413,,Yes
Argentina,5417-5419,,Yes
Argentina,5421,,Yes
Argentina,5423-5425,,Yes
Argentina,5427-5428,,Yes
Argentina,5435,,Yes
Argentina,5439,,Yes
Argentina,5441-5444,,Yes
Argentina,5460,,Yes
Argentina,5465-5468,,Yes
Argentina,5470,,Yes
Argentina,5473,,Yes
Argentina,5525,,Yes
Argentina,5529,,Yes
Argentina,5531-5535,,Yes
Argentina,5539,,Yes
Argentina,5541-5545,,Yes
Argentina,5557,,Yes
Argentina,5559-5561,,Yes
Argentina,5565,,Yes
Argentina,5567-5571,,Yes
Argentina,5573,,Yes
Argentina,5577,,Yes
Argentina,5579,,Yes
Argentina,5581,,Yes
Argentina,5584-5585,,Yes
Argentina,5589-5590,,Yes
Argentina,5592,,Yes
Argentina,5594,,Yes
Argentina,5603-5604,,Yes
Argentina,5609,,Yes
Argentina,5613,,Yes
Argentina,5620-5622,,Yes
Argentina,5632,,Yes
Argentina,5634,,Yes
Argentina,5701-5703,,Yes
Argentina,5705,,Yes
Argentina,5711,,Yes
Argentina,5713,,Yes
Argentina,5719,,Yes
