Alaska -- Ground Residential,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 11
133,$91.59 ,$93.48 ,$96.44 ,$97.62 ,$99.69 ,$101.27 ,$104.90 ,$170.85 ,$307.83 ,$170.67 
134,$92.14 ,$94.04 ,$97.00 ,$98.12 ,$100.25 ,$101.76 ,$105.45 ,$172.30 ,$310.45 ,$172.12 
135,$92.71 ,$94.60 ,$97.56 ,$98.63 ,$100.81 ,$102.27 ,$106.02 ,$173.66 ,$312.90 ,$173.57 
136,$93.25 ,$95.16 ,$98.12 ,$99.13 ,$101.37 ,$102.83 ,$106.51 ,$174.93 ,$315.20 ,$174.93 
137,$93.82 ,$95.72 ,$98.68 ,$99.69 ,$101.93 ,$103.34 ,$107.08 ,$176.11 ,$317.33 ,$176.01 
138,$94.38 ,$96.28 ,$99.24 ,$100.25 ,$102.49 ,$103.89 ,$107.63 ,$177.28 ,$319.46 ,$177.19 
139,$94.94 ,$96.84 ,$99.81 ,$100.76 ,$103.06 ,$104.45 ,$108.20 ,$178.55 ,$321.75 ,$178.46 
140,$95.50 ,$97.39 ,$100.36 ,$101.32 ,$103.60 ,$105.01 ,$108.75 ,$179.90 ,$324.21 ,$179.81 
141,$96.06 ,$97.95 ,$100.92 ,$101.88 ,$104.17 ,$105.58 ,$109.27 ,$181.18 ,$326.50 ,$181.26 
142,$96.62 ,$98.51 ,$101.48 ,$102.38 ,$104.72 ,$106.13 ,$109.81 ,$182.35 ,$328.63 ,$182.44 
143,$97.18 ,$99.08 ,$102.04 ,$102.88 ,$105.29 ,$106.70 ,$110.38 ,$183.53 ,$330.77 ,$183.53 
144,$97.74 ,$99.64 ,$102.60 ,$103.39 ,$105.84 ,$107.30 ,$110.93 ,$184.79 ,$333.06 ,$184.79 
145,$98.29 ,$100.20 ,$103.16 ,$103.89 ,$106.41 ,$107.87 ,$111.45 ,$185.97 ,$335.19 ,$185.97 
146,$98.85 ,$100.76 ,$103.72 ,$104.38 ,$106.96 ,$108.49 ,$112.00 ,$187.42 ,$337.81 ,$187.42 
147,$99.41 ,$101.32 ,$104.28 ,$104.90 ,$107.53 ,$109.04 ,$112.57 ,$188.60 ,$339.95 ,$188.69 
148,$99.97 ,$101.88 ,$104.85 ,$105.39 ,$108.10 ,$109.61 ,$113.12 ,$189.95 ,$342.40 ,$190.05 
149,$100.54 ,$102.43 ,$105.39 ,$105.90 ,$108.64 ,$110.21 ,$113.69 ,$191.40 ,$345.02 ,$191.50 
150,$101.10 ,$102.99 ,$105.96 ,$106.41 ,$109.21 ,$110.78 ,$114.24 ,$192.76 ,$347.48 ,$192.85 
