Alaska -- Ground Commercial,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 11
83,$61.78 ,$64.65 ,$65.76 ,$69.45 ,$71.81 ,$73.82 ,$75.67 ,$107.45 ,$194.50 ,$107.28 
84,$62.41 ,$65.27 ,$66.38 ,$69.97 ,$72.31 ,$74.27 ,$76.23 ,$108.63 ,$196.62 ,$108.36 
85,$62.96 ,$65.82 ,$67.00 ,$70.41 ,$72.76 ,$74.78 ,$76.84 ,$109.90 ,$198.92 ,$109.63 
86,$63.53 ,$66.38 ,$67.61 ,$70.91 ,$73.26 ,$75.28 ,$77.46 ,$111.08 ,$201.05 ,$110.81 
87,$64.07 ,$66.88 ,$68.23 ,$71.42 ,$73.76 ,$75.84 ,$78.08 ,$112.26 ,$203.18 ,$111.98 
88,$64.65 ,$67.45 ,$68.84 ,$71.92 ,$74.27 ,$76.40 ,$78.64 ,$113.52 ,$205.47 ,$113.34 
89,$65.22 ,$68.00 ,$69.45 ,$72.42 ,$74.78 ,$76.96 ,$79.20 ,$114.70 ,$207.60 ,$114.51 
90,$65.76 ,$68.57 ,$70.07 ,$72.93 ,$75.28 ,$77.52 ,$79.76 ,$116.15 ,$210.22 ,$115.96 
91,$66.33 ,$69.12 ,$70.68 ,$73.42 ,$75.77 ,$78.08 ,$80.32 ,$117.50 ,$212.68 ,$117.41 
92,$66.88 ,$69.69 ,$71.29 ,$73.98 ,$76.28 ,$78.64 ,$80.87 ,$118.68 ,$214.81 ,$118.68 
93,$67.45 ,$70.25 ,$71.92 ,$74.60 ,$76.79 ,$79.20 ,$81.44 ,$119.95 ,$217.10 ,$119.85 
94,$68.00 ,$70.80 ,$72.54 ,$75.28 ,$77.35 ,$79.70 ,$81.99 ,$121.13 ,$219.23 ,$121.03 
95,$68.57 ,$71.36 ,$73.15 ,$76.00 ,$77.90 ,$80.25 ,$82.56 ,$122.21 ,$221.20 ,$122.21 
96,$69.12 ,$71.92 ,$73.76 ,$76.67 ,$78.46 ,$80.76 ,$83.11 ,$123.38 ,$223.33 ,$123.38 
97,$69.69 ,$72.48 ,$74.39 ,$77.28 ,$79.02 ,$81.26 ,$83.68 ,$124.56 ,$225.46 ,$124.39 
98,$70.25 ,$73.04 ,$75.00 ,$77.96 ,$79.58 ,$81.77 ,$84.17 ,$125.65 ,$227.43 ,$125.47 
99,$70.80 ,$73.60 ,$75.61 ,$78.58 ,$80.14 ,$82.27 ,$84.74 ,$126.83 ,$229.55 ,$126.64 
100,$71.36 ,$74.10 ,$76.23 ,$79.13 ,$80.65 ,$82.77 ,$85.28 ,$127.82 ,$231.36 ,$127.65 
101,$71.92 ,$74.60 ,$76.79 ,$79.64 ,$81.15 ,$83.22 ,$85.85 ,$129.10 ,$233.65 ,$128.91 
102,$72.48 ,$75.11 ,$77.35 ,$80.14 ,$81.65 ,$83.73 ,$86.35 ,$130.27 ,$235.78 ,$130.09 
103,$73.04 ,$75.61 ,$77.90 ,$80.59 ,$82.17 ,$84.17 ,$86.92 ,$131.45 ,$237.92 ,$131.26 
104,$73.60 ,$76.11 ,$78.46 ,$81.10 ,$82.67 ,$84.68 ,$87.47 ,$132.71 ,$240.20 ,$132.44 
105,$74.16 ,$76.62 ,$79.02 ,$81.55 ,$83.16 ,$85.13 ,$87.99 ,$133.89 ,$242.33 ,$133.62 
106,$74.72 ,$77.13 ,$79.58 ,$82.04 ,$83.68 ,$85.63 ,$88.53 ,$135.16 ,$244.63 ,$134.80 
107,$75.28 ,$77.63 ,$80.14 ,$82.56 ,$84.17 ,$86.14 ,$89.04 ,$136.33 ,$246.76 ,$135.97 
108,$75.84 ,$78.13 ,$80.71 ,$83.11 ,$84.68 ,$86.59 ,$89.60 ,$137.51 ,$248.90 ,$137.15 
109,$76.40 ,$78.64 ,$81.26 ,$83.62 ,$85.18 ,$87.08 ,$90.17 ,$138.96 ,$251.52 ,$138.60 
110,$76.96 ,$79.13 ,$81.83 ,$84.17 ,$85.68 ,$87.52 ,$90.67 ,$140.31 ,$253.97 ,$140.05 
111,$77.52 ,$79.64 ,$82.38 ,$84.74 ,$86.19 ,$88.04 ,$91.22 ,$141.59 ,$256.27 ,$141.40 
112,$78.08 ,$80.14 ,$82.94 ,$85.23 ,$86.74 ,$88.48 ,$91.73 ,$142.76 ,$258.40 ,$142.58 
113,$78.64 ,$80.65 ,$83.49 ,$85.73 ,$87.31 ,$88.98 ,$92.29 ,$143.94 ,$260.53 ,$143.75 
114,$79.20 ,$81.15 ,$84.06 ,$86.25 ,$87.86 ,$89.50 ,$92.85 ,$145.20 ,$262.82 ,$145.02 
115,$79.76 ,$81.65 ,$84.61 ,$86.74 ,$88.43 ,$89.99 ,$93.41 ,$146.38 ,$264.95 ,$146.20 
116,$80.32 ,$82.22 ,$85.18 ,$87.26 ,$88.98 ,$90.50 ,$93.92 ,$147.83 ,$267.57 ,$147.65 
117,$80.87 ,$82.77 ,$85.73 ,$87.71 ,$89.55 ,$91.06 ,$94.47 ,$149.01 ,$269.70 ,$149.01 
118,$81.44 ,$83.34 ,$86.30 ,$88.20 ,$90.11 ,$91.57 ,$94.98 ,$150.18 ,$271.83 ,$150.18 
119,$81.99 ,$83.89 ,$86.87 ,$88.72 ,$90.61 ,$92.13 ,$95.54 ,$151.45 ,$274.13 ,$151.36 
120,$82.56 ,$84.46 ,$87.42 ,$89.21 ,$91.11 ,$92.68 ,$96.10 ,$152.63 ,$276.25 ,$152.45 
121,$83.11 ,$85.00 ,$87.99 ,$89.70 ,$91.62 ,$93.24 ,$96.66 ,$153.89 ,$278.55 ,$153.63 
122,$83.68 ,$85.57 ,$88.53 ,$90.27 ,$92.13 ,$93.75 ,$97.17 ,$155.25 ,$281.00 ,$155.07 
123,$84.23 ,$86.14 ,$89.10 ,$90.77 ,$92.56 ,$94.25 ,$97.72 ,$156.43 ,$283.13 ,$156.24 
124,$84.80 ,$86.69 ,$89.65 ,$91.34 ,$93.07 ,$94.81 ,$98.28 ,$157.88 ,$285.76 ,$157.69 
125,$85.35 ,$87.26 ,$90.22 ,$91.90 ,$93.57 ,$95.31 ,$98.79 ,$159.06 ,$287.89 ,$158.87 
126,$85.92 ,$87.81 ,$90.77 ,$92.46 ,$94.13 ,$95.87 ,$99.35 ,$160.32 ,$290.18 ,$159.96 
127,$86.46 ,$88.38 ,$91.34 ,$92.95 ,$94.64 ,$96.37 ,$99.91 ,$161.50 ,$292.32 ,$161.32 
128,$87.03 ,$88.93 ,$91.90 ,$93.47 ,$95.15 ,$96.88 ,$100.47 ,$162.86 ,$294.77 ,$162.67 
129,$87.60 ,$89.50 ,$92.46 ,$93.92 ,$95.71 ,$97.43 ,$100.96 ,$164.12 ,$297.07 ,$163.94 
130,$88.15 ,$90.05 ,$93.02 ,$94.41 ,$96.27 ,$97.94 ,$101.51 ,$165.30 ,$299.20 ,$165.12 
131,$88.72 ,$90.61 ,$93.57 ,$94.92 ,$96.82 ,$98.45 ,$102.08 ,$166.57 ,$301.49 ,$166.29 
132,$89.27 ,$91.16 ,$94.13 ,$95.36 ,$97.38 ,$99.01 ,$102.63 ,$167.93 ,$303.95 ,$167.74 
133,$89.84 ,$91.73 ,$94.69 ,$95.87 ,$97.94 ,$99.52 ,$103.15 ,$169.10 ,$306.08 ,$168.92 
134,$90.39 ,$92.29 ,$95.25 ,$96.37 ,$98.50 ,$100.01 ,$103.70 ,$170.55 ,$308.70 ,$170.37 
135,$90.96 ,$92.85 ,$95.81 ,$96.88 ,$99.06 ,$100.52 ,$104.27 ,$171.91 ,$311.15 ,$171.82 
136,$91.50 ,$93.41 ,$96.37 ,$97.38 ,$99.62 ,$101.08 ,$104.76 ,$173.18 ,$313.45 ,$173.18 
137,$92.07 ,$93.97 ,$96.93 ,$97.94 ,$100.18 ,$101.59 ,$105.33 ,$174.36 ,$315.58 ,$174.26 
138,$92.63 ,$94.53 ,$97.49 ,$98.50 ,$100.74 ,$102.14 ,$105.88 ,$175.53 ,$317.71 ,$175.44 
139,$93.19 ,$95.09 ,$98.06 ,$99.01 ,$101.31 ,$102.70 ,$106.45 ,$176.80 ,$320.00 ,$176.71 
140,$93.75 ,$95.64 ,$98.61 ,$99.57 ,$101.85 ,$103.26 ,$107.00 ,$178.15 ,$322.46 ,$178.06 
141,$94.31 ,$96.20 ,$99.17 ,$100.13 ,$102.42 ,$103.83 ,$107.52 ,$179.43 ,$324.75 ,$179.51 
142,$94.87 ,$96.76 ,$99.73 ,$100.63 ,$102.97 ,$104.38 ,$108.06 ,$180.60 ,$326.88 ,$180.69 
143,$95.43 ,$97.33 ,$100.29 ,$101.13 ,$103.54 ,$104.95 ,$108.63 ,$181.78 ,$329.02 ,$181.78 
144,$95.99 ,$97.89 ,$100.85 ,$101.64 ,$104.09 ,$105.55 ,$109.18 ,$183.04 ,$331.31 ,$183.04 
145,$96.54 ,$98.45 ,$101.41 ,$102.14 ,$104.66 ,$106.12 ,$109.70 ,$184.22 ,$333.44 ,$184.22 
146,$97.10 ,$99.01 ,$101.97 ,$102.63 ,$105.21 ,$106.74 ,$110.25 ,$185.67 ,$336.06 ,$185.67 
147,$97.66 ,$99.57 ,$102.53 ,$103.15 ,$105.78 ,$107.29 ,$110.82 ,$186.85 ,$338.20 ,$186.94 
148,$98.22 ,$100.13 ,$103.10 ,$103.64 ,$106.35 ,$107.86 ,$111.37 ,$188.20 ,$340.65 ,$188.30 
149,$98.79 ,$100.68 ,$103.64 ,$104.15 ,$106.89 ,$108.46 ,$111.94 ,$189.65 ,$343.27 ,$189.75 
150,$99.35 ,$101.24 ,$104.21 ,$104.66 ,$107.46 ,$109.03 ,$112.49 ,$191.01 ,$345.73 ,$191.10 
