Next Day Air -- Origin Hawaii,,,,,
Daily Rates,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,
Rates do not include a fuel surcharge.,,,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,,,

Weight Not To Exceed,Zone 12,Zone 22,Zone 142,Zone 144,Zone 146

134,$56.25 ,$56.25 ,$362.00 ,$362.00 ,$373.50 
135,$56.50 ,$56.50 ,$364.75 ,$364.75 ,$376.50 
136,$57.00 ,$57.00 ,$367.25 ,$367.25 ,$379.25 
137,$57.50 ,$57.50 ,$370.00 ,$370.00 ,$381.75 
138,$58.00 ,$58.00 ,$372.50 ,$372.50 ,$384.50 
139,$58.50 ,$58.50 ,$375.50 ,$375.50 ,$387.00 
140,$59.00 ,$59.00 ,$378.25 ,$378.25 ,$389.50 
141,$59.50 ,$59.50 ,$381.00 ,$381.00 ,$392.00 
142,$59.75 ,$59.75 ,$383.25 ,$383.25 ,$394.75 
143,$60.00 ,$60.00 ,$386.25 ,$386.25 ,$397.25 
144,$60.50 ,$60.50 ,$389.00 ,$389.00 ,$400.25 
145,$60.75 ,$60.75 ,$391.75 ,$391.75 ,$403.25 
146,$61.00 ,$61.00 ,$394.75 ,$394.75 ,$406.00 
147,$61.25 ,$61.25 ,$397.50 ,$397.50 ,$409.00 
148,$61.50 ,$61.50 ,$400.25 ,$400.25 ,$411.75 
149,$61.75 ,$61.75 ,$403.00 ,$403.00 ,$414.75 
150,$62.00 ,$62.00 ,$406.00 ,$406.00 ,$417.75 
Multiplier,$0.43 ,$0.43 ,$2.72 ,$2.72 ,$2.80 
