UPS Worldwide Expedited,,,,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,,,,

Weight Not To Exceed,Zone 71,Zone 72,Zone 74,Zone 601,Zone 602,Zone 603,Zone 604,Zone 605,Zone 606,Zone 607,Zone 608,Zone 609,Zone 610
60,$174.50 ,$191.50 ,$215.75 ,$291.25 ,$301.25 ,$326.00 ,$387.50 ,$295.25 ,$293.25 ,$332.50 ,$381.00 ,$580.50 ,$593.00 
62,$178.75 ,$194.75 ,$218.50 ,$295.50 ,$307.00 ,$329.25 ,$394.75 ,$301.25 ,$299.00 ,$339.50 ,$387.50 ,$583.50 ,$600.50 
64,$182.50 ,$198.50 ,$221.50 ,$299.25 ,$313.25 ,$332.75 ,$402.25 ,$307.25 ,$305.00 ,$346.25 ,$394.25 ,$587.00 ,$608.00 
66,$185.00 ,$202.50 ,$224.75 ,$303.50 ,$319.25 ,$335.75 ,$405.50 ,$312.75 ,$310.25 ,$353.25 ,$400.50 ,$592.75 ,$609.25 
68,$189.00 ,$206.00 ,$227.75 ,$307.25 ,$325.25 ,$339.25 ,$409.25 ,$318.25 ,$316.25 ,$359.25 ,$407.25 ,$598.25 ,$611.50 
70,$193.00 ,$210.00 ,$231.00 ,$311.50 ,$331.50 ,$342.50 ,$414.50 ,$324.25 ,$322.25 ,$365.75 ,$411.50 ,$606.75 ,$619.75 
72,$196.50 ,$213.75 ,$233.75 ,$314.50 ,$337.50 ,$345.50 ,$419.50 ,$329.75 ,$328.00 ,$370.00 ,$416.25 ,$615.00 ,$624.50 
74,$199.50 ,$217.75 ,$236.75 ,$317.75 ,$343.75 ,$348.50 ,$426.50 ,$335.50 ,$334.00 ,$374.25 ,$421.00 ,$623.50 ,$629.25 
76,$202.00 ,$221.25 ,$240.00 ,$320.25 ,$350.00 ,$350.75 ,$433.50 ,$341.00 ,$340.25 ,$378.25 ,$427.25 ,$630.00 ,$633.25 
78,$205.50 ,$225.00 ,$243.00 ,$322.75 ,$355.50 ,$354.75 ,$440.25 ,$347.00 ,$345.50 ,$381.75 ,$433.75 ,$635.25 ,$637.25 
80,$209.25 ,$229.00 ,$246.25 ,$325.50 ,$359.75 ,$359.00 ,$447.25 ,$352.75 ,$349.75 ,$385.50 ,$440.25 ,$639.50 ,$641.50 
82,$213.00 ,$230.50 ,$249.25 ,$328.00 ,$364.00 ,$363.25 ,$453.75 ,$359.25 ,$353.50 ,$389.00 ,$444.25 ,$643.75 ,$645.25 
84,$216.50 ,$234.25 ,$252.00 ,$330.25 ,$367.75 ,$367.50 ,$459.75 ,$365.00 ,$357.25 ,$392.25 ,$447.25 ,$647.75 ,$649.25 
86,$220.25 ,$238.00 ,$253.00 ,$332.75 ,$371.00 ,$369.50 ,$466.25 ,$370.50 ,$360.50 ,$395.75 ,$450.50 ,$652.25 ,$653.50 
88,$223.75 ,$239.75 ,$253.50 ,$335.50 ,$374.50 ,$371.75 ,$472.50 ,$376.00 ,$363.75 ,$398.75 ,$452.25 ,$656.25 ,$657.25 
90,$227.50 ,$241.00 ,$256.25 ,$337.50 ,$374.75 ,$374.25 ,$479.00 ,$382.00 ,$367.00 ,$401.75 ,$456.75 ,$660.50 ,$661.25 
92,$231.25 ,$244.75 ,$258.00 ,$340.00 ,$379.50 ,$376.25 ,$485.00 ,$388.00 ,$370.50 ,$405.00 ,$461.25 ,$664.75 ,$665.25 
94,$234.75 ,$248.00 ,$260.75 ,$341.00 ,$385.50 ,$378.50 ,$491.50 ,$393.75 ,$374.50 ,$408.25 ,$466.25 ,$669.00 ,$669.25 
96,$238.50 ,$250.25 ,$261.50 ,$341.75 ,$391.25 ,$380.75 ,$497.75 ,$399.75 ,$378.25 ,$411.25 ,$471.00 ,$673.00 ,$673.25 
98,$242.00 ,$252.25 ,$264.50 ,$344.00 ,$397.00 ,$383.25 ,$504.25 ,$405.75 ,$382.50 ,$414.50 ,$476.00 ,$677.50 ,$678.50 
100,$245.50 ,$255.50 ,$268.75 ,$346.25 ,$402.75 ,$385.00 ,$510.25 ,$411.50 ,$386.75 ,$417.25 ,$481.75 ,$681.50 ,$681.50 
105,$256.00 ,$267.75 ,$281.00 ,$359.00 ,$418.75 ,$401.25 ,$526.75 ,$421.00 ,$398.50 ,$428.75 ,$497.50 ,$699.00 ,$705.25 
110,$266.75 ,$279.75 ,$293.00 ,$372.00 ,$434.75 ,$412.50 ,$543.00 ,$430.75 ,$413.00 ,$440.50 ,$511.50 ,$716.25 ,$728.25 
115,$277.00 ,$291.50 ,$303.75 ,$384.25 ,$450.25 ,$423.75 ,$559.50 ,$440.25 ,$427.50 ,$452.00 ,$529.25 ,$734.00 ,$753.00 
120,$287.50 ,$303.50 ,$317.75 ,$395.25 ,$465.25 ,$435.25 ,$575.75 ,$450.00 ,$442.25 ,$463.50 ,$550.25 ,$751.25 ,$777.50 
125,$298.00 ,$315.50 ,$331.00 ,$405.00 ,$481.00 ,$446.50 ,$592.00 ,$459.50 ,$456.75 ,$476.50 ,$566.00 ,$768.75 ,$795.50 
130,$308.25 ,$327.50 ,$343.50 ,$414.75 ,$495.25 ,$455.75 ,$608.50 ,$469.25 ,$468.50 ,$489.00 ,$582.00 ,$786.00 ,$814.00 
135,$318.75 ,$339.50 ,$356.50 ,$423.75 ,$512.00 ,$464.75 ,$624.75 ,$479.00 ,$478.25 ,$501.75 ,$597.75 ,$812.50 ,$840.00 
140,$329.00 ,$351.50 ,$370.00 ,$432.25 ,$524.75 ,$472.75 ,$639.50 ,$487.00 ,$485.50 ,$516.25 ,$611.75 ,$838.75 ,$859.25 
145,$337.50 ,$360.75 ,$379.00 ,$440.75 ,$525.50 ,$475.75 ,$649.25 ,$496.75 ,$489.50 ,$526.00 ,$621.50 ,$855.25 ,$877.50 
150,$344.75 ,$368.00 ,$386.25 ,$442.00 ,$527.50 ,$477.00 ,$657.00 ,$499.50 ,$495.25 ,$533.00 ,$629.00 ,$876.75 ,$898.50 
151 to 199,$2.18 ,$2.31 ,$2.40 ,$2.59 ,$3.39 ,$2.90 ,$4.26 ,$3.08 ,$3.05 ,$3.26 ,$4.08 ,$5.50 ,$5.86 
Min,$344.75 ,$368.00 ,$386.25 ,$442.00 ,$527.50 ,$477.00 ,$657.00 ,$499.50 ,$495.25 ,$533.00 ,$629.00 ,$876.75 ,$898.50 
200 +,$2.04 ,$2.12 ,$2.21 ,$2.41 ,$3.25 ,$2.69 ,$4.12 ,$2.98 ,$2.92 ,$3.11 ,$3.78 ,$5.26 ,$5.58 
Min,$433.82 ,$469.64 ,$477.60 ,$515.41 ,$680.58 ,$573.12 ,$847.74 ,$626.85 ,$624.86 ,$680.58 ,$811.92 ,"$1,076.59 ","$1,166.14 "
