Hawaii -- 48 State Ground Residential,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed,Zone 2,Zone 3,Zone 4,Zone 5,Zone 6,Zone 7,Zone 8,Zone 9,Zone 10,Zone 11
60,$50.92 ,$52.76 ,$55.57 ,$56.76 ,$58.61 ,$62.07 ,$63.03 ,$77.68 ,$88.71 ,$79.69 
61,$51.41 ,$53.25 ,$56.12 ,$57.35 ,$59.36 ,$62.70 ,$63.68 ,$78.82 ,$89.89 ,$80.92 
62,$51.95 ,$53.74 ,$56.65 ,$57.90 ,$60.06 ,$63.30 ,$64.33 ,$80.04 ,$91.00 ,$81.97 
63,$52.44 ,$54.23 ,$57.14 ,$58.38 ,$60.72 ,$63.90 ,$64.93 ,$81.18 ,$92.18 ,$83.19 
64,$52.92 ,$54.71 ,$57.63 ,$58.87 ,$61.37 ,$64.43 ,$65.46 ,$82.32 ,$93.28 ,$84.15 
65,$53.41 ,$55.19 ,$58.06 ,$59.36 ,$61.95 ,$64.98 ,$66.01 ,$83.54 ,$94.22 ,$85.03 
66,$53.85 ,$55.63 ,$58.49 ,$59.84 ,$62.50 ,$65.52 ,$66.54 ,$84.68 ,$95.15 ,$85.99 
67,$54.28 ,$56.12 ,$58.87 ,$60.39 ,$63.10 ,$66.06 ,$67.09 ,$85.90 ,$96.17 ,$87.04 
68,$54.65 ,$56.55 ,$59.26 ,$60.99 ,$63.63 ,$66.54 ,$67.63 ,$87.04 ,$97.27 ,$88.18 
69,$55.03 ,$57.04 ,$59.57 ,$61.57 ,$64.11 ,$67.04 ,$68.17 ,$88.18 ,$98.45 ,$89.40 
70,$55.42 ,$57.53 ,$59.90 ,$62.17 ,$64.61 ,$67.52 ,$68.71 ,$89.40 ,$99.56 ,$90.54 
71,$55.79 ,$57.95 ,$60.17 ,$62.70 ,$65.09 ,$67.95 ,$69.25 ,$90.71 ,$100.66 ,$91.68 
72,$56.17 ,$58.38 ,$60.44 ,$63.25 ,$65.59 ,$68.34 ,$69.74 ,$92.11 ,$101.84 ,$92.90 
73,$56.55 ,$58.82 ,$60.72 ,$63.80 ,$66.06 ,$68.71 ,$70.23 ,$93.43 ,$102.95 ,$93.95 
74,$56.93 ,$59.26 ,$61.04 ,$64.33 ,$66.54 ,$69.10 ,$70.66 ,$94.74 ,$103.96 ,$95.00 
75,$57.30 ,$59.69 ,$61.37 ,$64.82 ,$67.04 ,$69.48 ,$71.09 ,$95.96 ,$104.98 ,$95.96 
76,$57.68 ,$60.11 ,$61.74 ,$65.31 ,$67.52 ,$69.85 ,$71.47 ,$97.10 ,$106.08 ,$97.01 
77,$58.12 ,$60.54 ,$62.12 ,$65.79 ,$68.01 ,$70.23 ,$71.85 ,$98.24 ,$107.18 ,$98.15 
78,$58.56 ,$61.04 ,$62.55 ,$66.29 ,$68.50 ,$70.66 ,$72.23 ,$99.37 ,$108.28 ,$99.29 
79,$59.03 ,$61.57 ,$62.98 ,$66.72 ,$68.98 ,$71.09 ,$72.67 ,$100.51 ,$109.47 ,$100.42 
80,$59.52 ,$62.17 ,$63.48 ,$67.20 ,$69.42 ,$71.53 ,$73.09 ,$101.82 ,$110.74 ,$101.65 
81,$60.06 ,$62.77 ,$63.96 ,$67.69 ,$69.91 ,$71.96 ,$73.58 ,$102.96 ,$111.93 ,$102.78 
82,$60.60 ,$63.35 ,$64.51 ,$68.12 ,$70.38 ,$72.39 ,$74.07 ,$104.18 ,$113.12 ,$103.92 
83,$61.19 ,$63.96 ,$65.04 ,$68.60 ,$70.88 ,$72.82 ,$74.61 ,$105.32 ,$114.30 ,$105.15 
84,$61.80 ,$64.56 ,$65.64 ,$69.10 ,$71.36 ,$73.26 ,$75.15 ,$106.46 ,$115.40 ,$106.20 
85,$62.33 ,$65.09 ,$66.23 ,$69.53 ,$71.80 ,$73.75 ,$75.74 ,$107.68 ,$116.59 ,$107.42 
86,$62.88 ,$65.64 ,$66.82 ,$70.01 ,$72.28 ,$74.23 ,$76.34 ,$108.82 ,$117.69 ,$108.56 
87,$63.40 ,$66.12 ,$67.42 ,$70.50 ,$72.77 ,$74.78 ,$76.94 ,$109.96 ,$118.79 ,$109.69 
88,$63.96 ,$66.67 ,$68.01 ,$70.99 ,$73.26 ,$75.32 ,$77.48 ,$111.18 ,$120.06 ,$111.01 
89,$64.51 ,$67.20 ,$68.60 ,$71.47 ,$73.75 ,$75.86 ,$78.02 ,$112.32 ,$121.17 ,$112.14 
90,$65.04 ,$67.75 ,$69.20 ,$71.96 ,$74.23 ,$76.40 ,$78.56 ,$113.72 ,$122.52 ,$113.54 
91,$65.59 ,$68.28 ,$69.79 ,$72.44 ,$74.71 ,$76.94 ,$79.10 ,$115.03 ,$123.96 ,$114.94 
92,$66.12 ,$68.83 ,$70.38 ,$72.98 ,$75.20 ,$77.48 ,$79.64 ,$116.17 ,$125.40 ,$116.17 
93,$66.67 ,$69.37 ,$70.99 ,$73.58 ,$75.69 ,$78.02 ,$80.19 ,$117.39 ,$126.67 ,$117.30 
94,$67.20 ,$69.91 ,$71.59 ,$74.23 ,$76.23 ,$78.50 ,$80.72 ,$118.53 ,$127.86 ,$118.44 
95,$67.75 ,$70.45 ,$72.18 ,$74.93 ,$76.77 ,$79.04 ,$81.27 ,$119.58 ,$128.96 ,$119.58 
96,$68.28 ,$70.99 ,$72.77 ,$75.58 ,$77.31 ,$79.53 ,$81.80 ,$120.71 ,$130.06 ,$120.71 
97,$68.83 ,$71.53 ,$73.37 ,$76.17 ,$77.85 ,$80.01 ,$82.35 ,$121.85 ,$131.00 ,$121.68 
98,$69.37 ,$72.07 ,$73.96 ,$76.82 ,$78.39 ,$80.50 ,$82.82 ,$122.90 ,$132.01 ,$122.73 
