UPS Worldwide Express,,,,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,,,,

Weight Not To Exceed,Zone 80,Zone 81,Zone 82,Zone 84,Zone 900,Zone 901,Zone 902,Zone 903,Zone 904,Zone 905,Zone 906,Zone 907,Zone 908

Letter,$25.50 ,$24.00 ,$25.00 ,$25.50 ,$25.75 ,$32.00 ,$32.00 ,$36.00 ,$37.00 ,$37.25 ,$47.75 ,$74.50 ,$78.50 
88,$277.25 ,$248.00 ,$263.50 ,$277.25 ,$471.25 ,$443.00 ,$477.00 ,$511.00 ,$612.50 ,$624.00 ,$879.75 ,"$1,036.50 ","$1,121.25 "
90,$280.25 ,$251.50 ,$267.50 ,$280.25 ,$481.50 ,$449.50 ,$485.50 ,$521.00 ,$618.75 ,$636.75 ,$891.00 ,"$1,055.00 ","$1,142.75 "
92,$282.00 ,$255.00 ,$270.00 ,$282.00 ,$491.25 ,$456.00 ,$494.00 ,$531.00 ,$631.25 ,$649.25 ,$902.50 ,"$1,073.75 ","$1,164.25 "
94,$283.75 ,$258.25 ,$273.75 ,$283.75 ,$501.00 ,$464.50 ,$502.75 ,$541.00 ,$643.00 ,$661.50 ,$913.75 ,"$1,092.25 ","$1,185.75 "
96,$285.75 ,$261.50 ,$276.25 ,$285.75 ,$511.25 ,$473.25 ,$511.25 ,$548.50 ,$654.75 ,$673.75 ,$925.25 ,"$1,111.00 ","$1,207.25 "
98,$289.00 ,$264.75 ,$278.75 ,$289.00 ,$521.25 ,$481.75 ,$519.75 ,$558.50 ,$666.50 ,$685.75 ,$936.50 ,"$1,129.50 ","$1,228.75 "
100,$292.25 ,$268.00 ,$282.75 ,$292.25 ,$530.75 ,$490.50 ,$528.25 ,$565.25 ,$678.25 ,$698.00 ,$948.00 ,"$1,148.00 ","$1,250.25 "
105,$306.50 ,$279.75 ,$296.50 ,$306.50 ,$558.00 ,$514.75 ,$553.50 ,$594.00 ,$709.50 ,$730.00 ,$981.00 ,"$1,205.50 ","$1,311.75 "
110,$320.75 ,$291.50 ,$310.25 ,$320.75 ,$584.50 ,$539.00 ,$579.00 ,$623.75 ,$740.50 ,$762.00 ,"$1,014.00 ","$1,263.00 ","$1,373.25 "
115,$335.00 ,$303.00 ,$324.00 ,$335.00 ,$611.00 ,$563.50 ,$604.25 ,$650.50 ,$771.75 ,$794.00 ,"$1,047.00 ","$1,320.25 ","$1,434.75 "
120,$349.50 ,$314.75 ,$337.75 ,$349.50 ,$637.50 ,$587.75 ,$629.75 ,$677.25 ,$802.75 ,$826.00 ,"$1,080.25 ","$1,377.75 ","$1,496.25 "
125,$363.75 ,$326.50 ,$351.50 ,$363.75 ,$664.00 ,$612.00 ,$655.00 ,$704.00 ,$834.00 ,$858.00 ,"$1,113.25 ","$1,435.00 ","$1,557.75 "
130,$378.00 ,$338.00 ,$365.25 ,$378.00 ,$689.50 ,$635.50 ,$680.25 ,$730.75 ,$865.00 ,$890.00 ,"$1,146.25 ","$1,492.50 ","$1,619.25 "
135,$392.25 ,$349.75 ,$379.00 ,$392.25 ,$714.75 ,$658.75 ,$705.75 ,$757.50 ,$896.25 ,$922.00 ,"$1,180.25 ","$1,549.75 ","$1,680.75 "
140,$406.50 ,$361.25 ,$392.75 ,$406.50 ,$740.25 ,$682.00 ,$731.00 ,$784.25 ,$927.25 ,$954.00 ,"$1,214.50 ","$1,607.25 ","$1,742.25 "
145,$420.75 ,$373.00 ,$406.50 ,$420.75 ,$765.50 ,$705.25 ,$756.50 ,$811.00 ,$958.50 ,$986.00 ,"$1,248.50 ","$1,664.50 ","$1,803.75 "
150,$435.00 ,$384.75 ,$422.25 ,$435.00 ,$790.25 ,$728.75 ,$781.75 ,$837.75 ,$989.50 ,"$1,018.25 ","$1,282.50 ","$1,722.00 ","$1,865.25 "
Per Pd.,$2.91 ,$2.57 ,$2.78 ,$2.91 ,$5.27 ,$4.84 ,$5.24 ,$5.58 ,$6.60 ,$6.79 ,$8.56 ,$11.48 ,$12.44 
Min,$435.00 ,$384.75 ,$422.25 ,$435.00 ,$790.25 ,$728.75 ,$781.75 ,$837.75 ,$989.50 ,"$1,018.25 ","$1,282.50 ","$1,722.00 ","$1,865.25 "





UPS Worldwide Express Box,,,,,,,,,,,,,
UPS 10 KG Box and UPS 25 KG Box,,,,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,,,,

Weight Not To Exceed,Zone 80,Zone 81,Zone 82,Zone 84,Zone 900,Zone 901,Zone 902,Zone 903,Zone 904,Zone 905,Zone 906,Zone 907,Zone 908


10kg (22 lbs),$92.50 ,$92.50 ,$93.25 ,$92.50 ,$143.50 ,$147.00 ,$157.75 ,$163.25 ,$163.00 ,$197.50 ,$206.25 ,$206.25 ,$206.25 
25Kg (55lbs),$163.75 ,$163.75 ,$164.75 ,$163.75 ,$246.50 ,$205.50 ,$238.00 ,$239.50 ,$238.75 ,$352.00 ,$351.50 ,$403.75 ,$403.75 
