UPS 2nd Day Air®,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 2, 2006",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

A $2.10 surcharge will be added to each Letter and package going to a residential destination.,,,,,,,,,,

Weight Not To Exceed, Zone 202 , Zone 203 , Zone 204 , Zone 205 , Zone 206 , Zone 207 , Zone 208 , Zone 224 , Zone 225 , Zone 226

Letter,$7.50 ,$8.00 ,$8.40 ,$9.10 ,$9.80 ,$10.20 ,$10.60 ,$14.60 ,$14.60 ,$20.20 
60,$40.70 ,$48.50 ,$61.10 ,$83.90 ,$120.60 ,$129.30 ,$134.00 ,$135.60 ,$135.60 ,$145.20 
61,$41.30 ,$49.20 ,$61.90 ,$85.20 ,$122.50 ,$131.30 ,$136.00 ,$137.90 ,$137.90 ,$147.20 
62,$41.90 ,$49.90 ,$62.70 ,$86.50 ,$124.40 ,$133.40 ,$138.10 ,$140.20 ,$140.20 ,$149.20 
63,$42.50 ,$50.50 ,$63.50 ,$87.70 ,$126.30 ,$135.50 ,$140.20 ,$142.40 ,$142.40 ,$151.20 
64,$43.10 ,$51.20 ,$64.30 ,$88.90 ,$128.20 ,$137.60 ,$142.30 ,$144.70 ,$144.70 ,$153.20 
65,$43.70 ,$51.90 ,$65.20 ,$90.10 ,$130.10 ,$139.70 ,$144.40 ,$146.90 ,$146.90 ,$155.30 
66,$44.30 ,$52.70 ,$66.10 ,$91.30 ,$132.00 ,$141.80 ,$146.60 ,$149.20 ,$149.20 ,$157.40 
67,$45.00 ,$53.50 ,$67.00 ,$92.50 ,$133.90 ,$143.90 ,$148.80 ,$151.50 ,$151.50 ,$159.50 
68,$45.70 ,$54.30 ,$67.90 ,$93.90 ,$135.80 ,$146.00 ,$151.00 ,$153.70 ,$153.70 ,$161.60 
69,$46.50 ,$55.10 ,$68.80 ,$95.20 ,$137.70 ,$148.10 ,$153.20 ,$155.90 ,$155.90 ,$163.70 
70,$47.20 ,$55.90 ,$69.80 ,$96.60 ,$139.60 ,$150.10 ,$155.40 ,$158.10 ,$158.10 ,$165.80 
71,$47.80 ,$56.70 ,$70.80 ,$98.00 ,$141.50 ,$152.10 ,$157.60 ,$160.30 ,$160.30 ,$167.90 
72,$48.40 ,$57.50 ,$71.80 ,$99.40 ,$143.40 ,$154.10 ,$159.80 ,$162.50 ,$162.50 ,$170.00 
73,$49.00 ,$58.20 ,$72.80 ,$100.80 ,$145.30 ,$156.10 ,$162.00 ,$164.70 ,$164.70 ,$172.10 
74,$49.60 ,$58.80 ,$73.80 ,$102.10 ,$147.20 ,$158.20 ,$164.20 ,$166.90 ,$166.90 ,$174.20 
75,$50.20 ,$59.60 ,$74.80 ,$103.50 ,$149.10 ,$160.20 ,$166.40 ,$169.10 ,$169.10 ,$176.20 
76,$50.80 ,$60.30 ,$75.80 ,$104.90 ,$151.00 ,$162.30 ,$168.60 ,$171.10 ,$171.10 ,$178.20 
77,$51.50 ,$60.90 ,$76.80 ,$106.30 ,$152.90 ,$164.30 ,$170.70 ,$173.10 ,$173.10 ,$180.20 
78,$52.20 ,$61.60 ,$77.80 ,$107.70 ,$154.80 ,$166.40 ,$172.90 ,$175.10 ,$175.10 ,$182.10 
79,$52.80 ,$62.40 ,$78.80 ,$109.00 ,$156.70 ,$168.40 ,$175.00 ,$177.10 ,$177.10 ,$184.00 
