UPS Ground Residential,,,,,,,,,,
Daily Rates,,,,,,,,,,
"EFFECTIVE JANUARY 3, 2005",,,,,,,,,,
Rates do not include a fuel surcharge.,,,,,,,,,,

Weight Not To Exceed, Zone 2 , Zone 3 , Zone 4 , Zone 5 , Zone 6 , Zone 7 , Zone 8,Zone 44,Zone 45,Zone 46
63,$12.87 ,$15.75 ,$18.12 ,$21.86 ,$27.00 ,$32.26 ,$38.27 ,$111.37 ,$111.37 ,$121.15 
64,$12.97 ,$15.85 ,$18.23 ,$21.99 ,$27.18 ,$32.44 ,$38.50 ,$113.21 ,$113.21 ,$122.90 
65,$13.06 ,$15.95 ,$18.35 ,$22.13 ,$27.34 ,$32.62 ,$38.75 ,$115.04 ,$115.04 ,$124.56 
66,$13.15 ,$16.05 ,$18.47 ,$22.27 ,$27.50 ,$32.79 ,$38.98 ,$116.79 ,$116.79 ,$126.31 
67,$13.25 ,$16.16 ,$18.59 ,$22.40 ,$27.68 ,$32.97 ,$39.23 ,$118.54 ,$118.54 ,$128.06 
68,$13.33 ,$16.27 ,$18.70 ,$22.53 ,$27.83 ,$33.15 ,$39.46 ,$120.21 ,$120.21 ,$129.81 
69,$13.42 ,$16.38 ,$18.81 ,$22.68 ,$27.99 ,$33.33 ,$39.71 ,$121.95 ,$121.95 ,$131.56 
70,$13.50 ,$16.48 ,$18.93 ,$22.81 ,$28.15 ,$33.50 ,$39.94 ,$123.70 ,$123.70 ,$133.40 
71,$18.85 ,$21.03 ,$23.25 ,$25.36 ,$30.34 ,$35.21 ,$41.39 ,$125.80 ,$125.80 ,$134.97 
72,$23.43 ,$25.50 ,$27.47 ,$28.35 ,$32.43 ,$37.00 ,$42.57 ,$127.90 ,$127.90 ,$136.55 
73,$27.29 ,$29.24 ,$31.07 ,$31.33 ,$34.48 ,$38.80 ,$43.46 ,$130.00 ,$130.00 ,$138.12 
74,$29.95 ,$32.00 ,$33.79 ,$34.31 ,$36.46 ,$40.29 ,$44.26 ,$131.66 ,$131.66 ,$139.69 
75,$31.40 ,$33.45 ,$35.59 ,$36.10 ,$38.31 ,$41.48 ,$44.95 ,$133.15 ,$133.15 ,$141.27 
76,$32.84 ,$34.64 ,$36.48 ,$37.23 ,$39.85 ,$42.37 ,$45.54 ,$134.63 ,$134.63 ,$142.84 
77,$34.09 ,$35.73 ,$37.27 ,$38.18 ,$41.07 ,$42.97 ,$46.03 ,$136.12 ,$136.12 ,$144.42 
78,$35.14 ,$36.76 ,$38.00 ,$38.98 ,$41.96 ,$43.51 ,$46.51 ,$137.70 ,$137.70 ,$145.99 
79,$36.00 ,$37.77 ,$38.67 ,$39.64 ,$42.57 ,$44.06 ,$46.99 ,$139.18 ,$139.18 ,$147.57 
80,$36.70 ,$38.79 ,$39.26 ,$40.15 ,$43.05 ,$44.53 ,$47.47 ,$140.75 ,$140.75 ,$149.14 
81,$37.35 ,$39.33 ,$39.80 ,$40.63 ,$43.54 ,$45.01 ,$47.94 ,$142.33 ,$142.33 ,$150.89 
82,$37.94 ,$39.87 ,$40.33 ,$41.11 ,$44.01 ,$45.49 ,$48.41 ,$144.00 ,$144.00 ,$152.64 
83,$38.49 ,$40.38 ,$40.85 ,$41.59 ,$44.49 ,$45.97 ,$48.88 ,$145.57 ,$145.57 ,$154.39 
